id,idempotency_key,source_wallet_id,destination_wallet_id,amount,currency,status,error_reason,created_at,updated_at
1f84082e-668e-499e-b855-edc9b37c7c44,signup-bonus-7aba28a8-1676-4258-8177-019a1fc6213b,,4f64b206-7b74-44ce-b39f-89049ebd4e3f,10000,INR,completed,,2025-07-31T16:48:16.146Z,2025-07-31T16:48:16.146Z
fba6b78f-5ea3-4d3e-841b-7c57c52c28bd,dep-8ebf6243-f5ec-409e-ba3c-cfbcdd96d5fd,,4f64b206-7b74-44ce-b39f-89049ebd4e3f,85000,INR,completed,,2025-08-01T16:48:16.146Z,2025-08-01T16:48:16.146Z
2075ed7f-d2b5-469c-9e4d-7196a9c200b2,tx-262cdd61-0528-4cf4-970b-2d107fdc9506,4f64b206-7b74-44ce-b39f-89049ebd4e3f,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,726,INR,completed,,2025-08-01T16:48:16.146Z,2025-08-01T16:48:16.146Z
3ac7ee5a-d288-4a37-9bec-0c8b854048d9,tx-8b6a82ad-d2c3-40b4-82b2-ad52fe573437,4f64b206-7b74-44ce-b39f-89049ebd4e3f,8fecc2ac-282e-4044-a1dd-0ef257c60926,3314,INR,completed,,2025-08-02T16:48:16.146Z,2025-08-02T16:48:16.146Z
c73a5252-de1d-445d-b37b-cb00a9b526cc,tx-b71a3601-766a-464b-b227-ce6634cc94f8,4f64b206-7b74-44ce-b39f-89049ebd4e3f,396aaa88-f522-47e1-a4dd-f2107cc69e7a,25000,INR,completed,,2025-08-03T16:48:16.146Z,2025-08-03T16:48:16.146Z
805aecca-2d12-446a-be56-a707e7accf29,tx-e0fe1e45-2d8a-43d8-a952-a74a05b2d515,4f64b206-7b74-44ce-b39f-89049ebd4e3f,0e5d4bb0-d613-443b-beef-163eb4214b67,3546,INR,completed,,2025-08-05T16:48:16.146Z,2025-08-05T16:48:16.146Z
30214287-002f-4ed8-ad29-07fd107bbae3,tx-55373522-998f-48db-9a2a-b97450fa49d3,4f64b206-7b74-44ce-b39f-89049ebd4e3f,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,415,INR,completed,,2025-08-07T16:48:16.146Z,2025-08-07T16:48:16.146Z
be98a856-d126-46bc-8044-3ab91f184811,tx-77deec55-2e09-4d2d-98d2-e2678cef723e,4f64b206-7b74-44ce-b39f-89049ebd4e3f,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,394,INR,completed,,2025-08-08T16:48:16.146Z,2025-08-08T16:48:16.146Z
88a1e35b-90af-4a5b-a8ea-98fa465b9601,tx-f8fce50d-8689-45cd-a014-3ece01d5c222,4f64b206-7b74-44ce-b39f-89049ebd4e3f,8fecc2ac-282e-4044-a1dd-0ef257c60926,2689,INR,completed,,2025-08-09T16:48:16.146Z,2025-08-09T16:48:16.146Z
18014e28-ca1a-43b7-87a4-3d96a354f46a,tx-3f1505b5-d36f-4dff-8aec-1574b33429c4,4f64b206-7b74-44ce-b39f-89049ebd4e3f,77f216ae-66bd-4d6b-9dcf-ac7ac8c779cc,263,INR,completed,,2025-08-09T16:48:16.146Z,2025-08-09T16:48:16.146Z
22c98218-94e7-4612-be12-06a426a449d6,signup-bonus-6c81bc8a-1f37-4c9f-85d1-a8876ce337bd,,2e25c793-17ff-4230-b58d-17dfcc222464,10000,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
4a8efb81-0f93-41e5-ba7c-a5a4a9816f1d,tx-19d80856-5a4d-427f-8ed2-5d3318e7c269,4f64b206-7b74-44ce-b39f-89049ebd4e3f,bcf7c323-ee7b-4313-95c0-68f74cfeb2bb,199,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
0b2804c1-115d-4fff-b568-17d84422c069,tx-2ef55b00-a37e-496b-8160-8521218a63d9,4f64b206-7b74-44ce-b39f-89049ebd4e3f,8f5bd58f-2868-4aff-b5da-41454b5bb662,699,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
e58666fe-faaa-4592-ac49-8802d2e54c22,tx-bd92fcb6-226a-4147-9548-95c75f37b02b,4f64b206-7b74-44ce-b39f-89049ebd4e3f,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,737,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
40b6ac2c-5b52-47e8-bdcc-a18666915a7c,dep-ae4cc6fa-7021-471e-9f48-734aad361021,,4f64b206-7b74-44ce-b39f-89049ebd4e3f,36.85,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
7218996d-2803-45cc-97d1-42b0e687aa2a,dep-54d46211-ee89-47bd-a218-5db2e2622aa1,,2e25c793-17ff-4230-b58d-17dfcc222464,6706,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
97d7e04e-da42-489d-9868-ef75caf2b81f,tx-6910e3ce-7552-4bec-9633-dc388e47ed18,2e25c793-17ff-4230-b58d-17dfcc222464,68e8cdc4-a89c-4489-9d80-d6345ef95f59,2079,INR,completed,,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
7e9e2d39-fe9d-4fdc-a50c-d01736ce4f24,dep-e94bee20-7caf-4ed8-8e42-1f0a2bc45849,,2e25c793-17ff-4230-b58d-17dfcc222464,11600,INR,completed,,2025-08-11T16:48:16.146Z,2025-08-11T16:48:16.146Z
c599e086-65ef-4e1a-a784-24e493009b64,tx-776118e7-0dd7-407c-bf8e-551bb7b29607,2e25c793-17ff-4230-b58d-17dfcc222464,8c25909a-227f-4d95-86a1-9033ec6e34a4,629,INR,completed,,2025-08-11T16:48:16.146Z,2025-08-11T16:48:16.146Z
46651c83-bd8a-48e6-a748-f0a2197d51fe,dep-50350bc8-411d-4ee8-bb40-36875475d748,,2e25c793-17ff-4230-b58d-17dfcc222464,11330,INR,completed,,2025-08-12T16:48:16.146Z,2025-08-12T16:48:16.146Z
2b612c8f-3276-4fa3-b419-5988ed672b59,tx-9fc4e2fa-62b0-4131-9c6e-e0df828735df,2e25c793-17ff-4230-b58d-17dfcc222464,77f216ae-66bd-4d6b-9dcf-ac7ac8c779cc,834,INR,completed,,2025-08-12T16:48:16.146Z,2025-08-12T16:48:16.146Z
4c03d366-db4b-4452-899f-4bacf817bd4e,dep-0927aac1-cc4b-4680-ac8a-2c310dec4ac3,,2e25c793-17ff-4230-b58d-17dfcc222464,8702,INR,completed,,2025-08-13T16:48:16.146Z,2025-08-13T16:48:16.146Z
9e99038d-0232-4a78-a90f-38d63ac53291,tx-2dc45b4c-c124-4363-9f68-73a11abbebe9,2e25c793-17ff-4230-b58d-17dfcc222464,68e8cdc4-a89c-4489-9d80-d6345ef95f59,2622,INR,completed,,2025-08-14T16:48:16.146Z,2025-08-14T16:48:16.146Z
da6db0b3-6d55-4ca8-8ee9-5899213aa150,signup-bonus-ca9186d2-ed34-4ba2-be36-2c0eff3c62c0,,d53314e5-d645-464a-99cf-45ed1a35e9fd,10000,INR,completed,,2025-08-15T16:48:16.146Z,2025-08-15T16:48:16.146Z
c51100e2-6ccf-4067-8e7e-352d27ce2131,tx-b7ec09c8-5ada-4d68-ab68-269663005867,4f64b206-7b74-44ce-b39f-89049ebd4e3f,77f216ae-66bd-4d6b-9dcf-ac7ac8c779cc,508,INR,completed,,2025-08-15T16:48:16.146Z,2025-08-15T16:48:16.146Z
