transaction_id,category,merchant_name,payment_method,city,device_type,ip_address,location_lat,location_lng
1f84082e-668e-499e-b855-edc9b37c7c44,Reward,SignUp Bonus,Internal Credit,Mumbai,Web,192.168.1.79,19.076,72.8777
fba6b78f-5ea3-4d3e-841b-7c57c52c28bd,Salary,HDFC Corporate Payroll,Credit Card,Mumbai,Web,192.168.1.89,19.076,72.8777
2075ed7f-d2b5-469c-9e4d-7196a9c200b2,Food & Dining,Zomato,Wallet,Mumbai,Web,192.168.1.124,19.076,72.8777
3ac7ee5a-d288-4a37-9bec-0c8b854048d9,Groceries,BigBasket,Wallet,Mumbai,Web,192.168.1.232,19.076,72.8777
c73a5252-de1d-445d-b37b-cb00a9b526cc,Rent,Amit Kumar (Landlord),Wallet,Mumbai,Web,192.168.1.32,19.076,72.8777
805aecca-2d12-446a-be56-a707e7accf29,Utilities,Adani Power,Wallet,Mumbai,Android,192.168.1.182,19.076,72.8777
30214287-002f-4ed8-ad29-07fd107bbae3,Food & Dining,Zomato,Wallet,Mumbai,Android,192.168.1.159,19.076,72.8777
be98a856-d126-46bc-8044-3ab91f184811,Food & Dining,Zomato,Wallet,Mumbai,Web,192.168.1.36,19.076,72.8777
88a1e35b-90af-4a5b-a8ea-98fa465b9601,Groceries,BigBasket,Wallet,Mumbai,Web,192.168.1.139,19.076,72.8777
18014e28-ca1a-43b7-87a4-3d96a354f46a,Transport,Uber,Wallet,Mumbai,Web,192.168.1.54,19.076,72.8777
22c98218-94e7-4612-be12-06a426a449d6,Reward,SignUp Bonus,Internal Credit,Mumbai,Web,192.168.1.194,19.076,72.8777
4a8efb81-0f93-41e5-ba7c-a5a4a9816f1d,Subscription,Netflix India,Wallet,Mumbai,iOS,192.168.1.122,19.076,72.8777
0b2804c1-115d-4fff-b568-17d84422c069,Utilities,Airtel Broadband,Wallet,Mumbai,Android,192.168.1.165,19.076,72.8777
e58666fe-faaa-4592-ac49-8802d2e54c22,Food & Dining,Zomato,Wallet,Mumbai,Web,192.168.1.80,19.076,72.8777
40b6ac2c-5b52-47e8-bdcc-a18666915a7c,Cashback,Wallet Promo,Debit Card,Mumbai,Android,192.168.1.230,19.076,72.8777
7218996d-2803-45cc-97d1-42b0e687aa2a,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,iOS,192.168.1.86,19.076,72.8777
97d7e04e-da42-489d-9868-ef75caf2b81f,Shopping,Amazon Office Supplies,Wallet,Mumbai,Web,192.168.1.157,19.076,72.8777
7e9e2d39-fe9d-4fdc-a50c-d01736ce4f24,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,Android,192.168.1.76,19.076,72.8777
c599e086-65ef-4e1a-a784-24e493009b64,Food & Dining,Starbucks Business Meetup,Wallet,Mumbai,Android,192.168.1.199,19.076,72.8777
46651c83-bd8a-48e6-a748-f0a2197d51fe,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,iOS,192.168.1.226,19.076,72.8777
2b612c8f-3276-4fa3-b419-5988ed672b59,Transport,Uber Business Ride,Wallet,Mumbai,Web,192.168.1.62,19.076,72.8777
4c03d366-db4b-4452-899f-4bacf817bd4e,Business Revenue,Merchant POS Settlement,UPI,Mumbai,iOS,192.168.1.51,19.076,72.8777
9e99038d-0232-4a78-a90f-38d63ac53291,Shopping,Amazon Office Supplies,Wallet,Mumbai,Android,192.168.1.135,19.076,72.8777
da6db0b3-6d55-4ca8-8ee9-5899213aa150,Reward,SignUp Bonus,Internal Credit,Mumbai,Web,192.168.1.144,19.076,72.8777
c51100e2-6ccf-4067-8e7e-352d27ce2131,Transport,Uber,Wallet,Mumbai,Android,192.168.1.158,19.076,72.8777
99107894-6a47-4d5c-8b1b-b2549af03457,Business Revenue,Merchant POS Settlement,UPI,Mumbai,iOS,192.168.1.193,19.076,72.8777
06c2c9b9-7870-4649-afc8-6bd839d27ba8,Business Expense,Inventory Supplier Co,Wallet,Mumbai,iOS,192.168.1.210,19.076,72.8777
96a89274-df0d-4f3c-84b1-f4128333f8dd,Transport,Uber Office,Wallet,Mumbai,Web,192.168.1.99,19.076,72.8777
7fe7a1cf-18a1-49cc-970b-384d47915efa,Groceries,BigBasket,Wallet,Mumbai,Web,192.168.1.28,19.076,72.8777
4d26b1f3-72e9-454f-bb35-295c4622dbd7,Shopping,Amazon Shopping,Wallet,Mumbai,Web,192.168.1.139,19.076,72.8777
8524fd5e-caaa-4f1f-b080-877def725639,Business Revenue,Merchant POS Settlement,Credit Card,Mumbai,Android,192.168.1.27,19.076,72.8777
713b8abc-e25f-44a3-829b-3f03431deaef,Business Revenue,Merchant POS Settlement,UPI,Mumbai,iOS,192.168.1.175,19.076,72.8777
e7bfb419-0b1f-4e7d-92fa-e4205a37e4ae,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Android,192.168.1.190,19.076,72.8777
cf71f1d7-91d6-435e-b608-99d7cd45439e,Business Revenue,Merchant POS Settlement,UPI,Mumbai,iOS,192.168.1.154,19.076,72.8777
c4e9f8b4-f640-4c7c-8582-741c521eb6de,Transport,Uber Business Ride,Wallet,Mumbai,iOS,192.168.1.46,19.076,72.8777
a60c25c3-5dc9-48ed-9fd4-00540ac64f66,Business Revenue,Merchant POS Settlement,UPI,Mumbai,iOS,192.168.1.13,19.076,72.8777
d931c1b8-c07a-40c4-b0c5-4383e3bad3b2,Business Revenue,Merchant POS Settlement,Credit Card,Mumbai,Web,192.168.1.154,19.076,72.8777
4d9ee42b-b2fc-4f4b-974a-7fc072c33d2d,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Android,192.168.1.25,19.076,72.8777
c78114b9-a924-48e2-ae04-222ec370a3c8,Food & Dining,Zomato Home,Wallet,Mumbai,Android,192.168.1.104,19.076,72.8777
1399ab56-687d-4eae-99df-e1254f063b72,Business Revenue,Merchant POS Settlement,Credit Card,Mumbai,iOS,192.168.1.222,19.076,72.8777
63b81d09-56b7-456a-aa33-2c9d1e9f48dc,Shopping,Amazon Lifestyle,Wallet,Mumbai,Web,192.168.1.15,19.076,72.8777
5a011617-f514-4356-989b-54cf7245ae4e,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,iOS,192.168.1.35,19.076,72.8777
7d33cab0-8228-4801-b594-899a9c9bc697,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Web,192.168.1.75,19.076,72.8777
d9f5ddd5-8a5c-4861-9272-a617726bc1de,Food & Dining,Zomato Home,Wallet,Mumbai,Web,192.168.1.48,19.076,72.8777
902848d1-1e78-48a1-90c4-4db2b5c9274e,Shopping,Amazon Shopping,Wallet,Mumbai,iOS,192.168.1.244,19.076,72.8777
7ff961d3-3025-4a9b-b7b3-5f44c5596f58,Business Revenue,Merchant POS Settlement,Credit Card,Mumbai,Web,192.168.1.51,19.076,72.8777
2dc89fe8-4850-41d2-b928-fe9bf74ffcef,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Web,192.168.1.37,19.076,72.8777
366a17e9-8655-41d9-98f0-19bf565e61a2,Groceries,BigBasket,Wallet,Mumbai,Web,192.168.1.88,19.076,72.8777
62545bd2-b093-4a18-9867-f2598915f0d2,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,Web,192.168.1.207,19.076,72.8777
681bd1e0-b96e-4b69-9313-b9022654e487,Shopping,Amazon Office Supplies,Wallet,Mumbai,Android,192.168.1.21,19.076,72.8777
6b53fbef-845b-4782-a3aa-9a0eabdbf6a0,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,Web,192.168.1.96,19.076,72.8777
c02adc8f-a42c-415f-92a9-0bf309969698,Business Revenue,Merchant POS Settlement,Credit Card,Mumbai,Android,192.168.1.106,19.076,72.8777
d3e00f6b-ee1e-4829-9c9e-a76c14b6f9f7,Transport,Uber Business Ride,Wallet,Mumbai,Web,192.168.1.72,19.076,72.8777
26d281d3-4661-4eaf-9319-42bb459c4397,Reward,SignUp Bonus,Internal Credit,Mumbai,Web,192.168.1.132,19.076,72.8777
418ef853-640f-4b82-af0e-6014e821adbd,Shopping,Amazon Shopping,Wallet,Mumbai,Web,192.168.1.205,19.076,72.8777
6a56544a-9dcb-432f-ac19-bf867bdbd2a2,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,iOS,192.168.1.101,19.076,72.8777
3e5c94ce-7418-4a3c-8818-0ddcf75a0c4e,Business Expense,Inventory Supplier Co,Wallet,Mumbai,iOS,192.168.1.49,19.076,72.8777
3c4640f2-6d16-47a9-b20d-c0edacf3c98b,Food & Dining,Starbucks Business Meetup,Wallet,Mumbai,Android,192.168.1.199,19.076,72.8777
9aae1655-6724-4c45-b2da-10a4e0321e25,Shopping,Amazon Shopping,Wallet,Mumbai,iOS,192.168.1.133,19.076,72.8777
e3ecf49a-0d81-4170-873e-33d1e24b1107,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Android,192.168.1.146,19.076,72.8777
e0edec09-81ec-4513-88d6-6c088a608d11,Business Revenue,Merchant POS Settlement,Debit Card,Mumbai,Android,192.168.1.194,19.076,72.8777
1eeff958-6a73-4cda-b0c3-ac4b8aa848eb,Reward,SignUp Bonus,Internal Credit,Mumbai,Web,192.168.1.52,19.076,72.8777
0db177e8-1f5f-42be-914b-792e7af5c653,Business Revenue,Merchant POS Settlement,UPI,Mumbai,Web,192.168.1.163,19.076,72.8777
