transaction_id,wallet_id,entry_type,amount,balance_after,created_at
1f84082e-668e-499e-b855-edc9b37c7c44,4f64b206-7b74-44ce-b39f-89049ebd4e3f,credit,10000,10000,2025-07-31T16:48:16.146Z
fba6b78f-5ea3-4d3e-841b-7c57c52c28bd,4f64b206-7b74-44ce-b39f-89049ebd4e3f,credit,85000,95000,2025-08-01T16:48:16.146Z
2075ed7f-d2b5-469c-9e4d-7196a9c200b2,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,726,94274,2025-08-01T16:48:16.146Z
2075ed7f-d2b5-469c-9e4d-7196a9c200b2,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,credit,726,726,2025-08-01T16:48:16.146Z
3ac7ee5a-d288-4a37-9bec-0c8b854048d9,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,3314,90960,2025-08-02T16:48:16.146Z
3ac7ee5a-d288-4a37-9bec-0c8b854048d9,8fecc2ac-282e-4044-a1dd-0ef257c60926,credit,3314,3314,2025-08-02T16:48:16.146Z
c73a5252-de1d-445d-b37b-cb00a9b526cc,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,25000,65960,2025-08-03T16:48:16.146Z
c73a5252-de1d-445d-b37b-cb00a9b526cc,396aaa88-f522-47e1-a4dd-f2107cc69e7a,credit,25000,25000,2025-08-03T16:48:16.146Z
805aecca-2d12-446a-be56-a707e7accf29,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,3546,62414,2025-08-05T16:48:16.146Z
805aecca-2d12-446a-be56-a707e7accf29,0e5d4bb0-d613-443b-beef-163eb4214b67,credit,3546,3546,2025-08-05T16:48:16.146Z
30214287-002f-4ed8-ad29-07fd107bbae3,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,415,61999,2025-08-07T16:48:16.146Z
30214287-002f-4ed8-ad29-07fd107bbae3,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,credit,415,1141,2025-08-07T16:48:16.146Z
be98a856-d126-46bc-8044-3ab91f184811,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,394,61605,2025-08-08T16:48:16.146Z
be98a856-d126-46bc-8044-3ab91f184811,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,credit,394,1535,2025-08-08T16:48:16.146Z
88a1e35b-90af-4a5b-a8ea-98fa465b9601,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,2689,58916,2025-08-09T16:48:16.146Z
88a1e35b-90af-4a5b-a8ea-98fa465b9601,8fecc2ac-282e-4044-a1dd-0ef257c60926,credit,2689,6003,2025-08-09T16:48:16.146Z
18014e28-ca1a-43b7-87a4-3d96a354f46a,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,263,58653,2025-08-09T16:48:16.146Z
18014e28-ca1a-43b7-87a4-3d96a354f46a,77f216ae-66bd-4d6b-9dcf-ac7ac8c779cc,credit,263,263,2025-08-09T16:48:16.146Z
22c98218-94e7-4612-be12-06a426a449d6,2e25c793-17ff-4230-b58d-17dfcc222464,credit,10000,10000,2025-08-10T16:48:16.146Z
4a8efb81-0f93-41e5-ba7c-a5a4a9816f1d,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,199,58454,2025-08-10T16:48:16.146Z
4a8efb81-0f93-41e5-ba7c-a5a4a9816f1d,bcf7c323-ee7b-4313-95c0-68f74cfeb2bb,credit,199,199,2025-08-10T16:48:16.146Z
0b2804c1-115d-4fff-b568-17d84422c069,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,699,57755,2025-08-10T16:48:16.146Z
0b2804c1-115d-4fff-b568-17d84422c069,8f5bd58f-2868-4aff-b5da-41454b5bb662,credit,699,699,2025-08-10T16:48:16.146Z
e58666fe-faaa-4592-ac49-8802d2e54c22,4f64b206-7b74-44ce-b39f-89049ebd4e3f,debit,737,57018,2025-08-10T16:48:16.146Z
e58666fe-faaa-4592-ac49-8802d2e54c22,99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,credit,737,2272,2025-08-10T16:48:16.146Z
