id,user_id,currency,balance,status,created_at,updated_at
99326bcd-2ed0-4319-b6a7-a9d1ac39f1b2,8d741ae4-6de5-4a3c-b502-1ca883badab5,INR,101684.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
77f216ae-66bd-4d6b-9dcf-ac7ac8c779cc,52fcf307-e901-48ef-9ab7-862f4f146ecd,INR,97258.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
68e8cdc4-a89c-4489-9d80-d6345ef95f59,c775d2ee-6d3b-47b1-8dbb-1483dfd9d540,INR,428790.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
bcf7c323-ee7b-4313-95c0-68f74cfeb2bb,9a9c673a-069d-4d97-97bd-8c3c62dbef54,INR,2388.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
8fecc2ac-282e-4044-a1dd-0ef257c60926,7a4ebf8a-c40e-4d4e-9aa9-627f028cda1d,INR,180211.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
a56c78df-bd12-4093-8857-edaaef0c6ac6,b4a4f4cc-60a7-4a1f-a8f3-d3c91b57a25a,INR,88000.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
8c25909a-227f-4d95-86a1-9033ec6e34a4,ad505fc7-d443-49d4-a63a-58a9b6fb0c08,INR,92195.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
5a5c422f-2b4f-4e26-bd2e-db36096ce28f,baad23b3-4d22-499b-8cc1-65c9e76e7fe5,INR,65795.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
4778cfd7-bd59-44d1-88ad-ffa43d403800,29eb5fed-b111-481f-a415-485f2a9930f2,INR,113106.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
0e5d4bb0-d613-443b-beef-163eb4214b67,2d837444-5c99-4eff-8206-f6f08bd3756c,INR,42985.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
8f5bd58f-2868-4aff-b5da-41454b5bb662,d17cbe13-077d-4445-9b49-1db0bbea8b51,INR,8687.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
396aaa88-f522-47e1-a4dd-f2107cc69e7a,b86472e7-8521-445c-9628-617685c418c6,INR,685000.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
78d754c3-7421-45c6-af19-62af10c7d7a7,f7b68f54-0ae3-46cb-b51e-e861408b4217,INR,1659831.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
655846c2-aeb1-41c7-b562-4937ad6f5c8b,9178d340-6576-4437-a0e0-fb6ee75b73c9,INR,198000.0000,active,2025-07-26T16:48:16.146Z,2025-07-26T16:48:16.146Z
4f64b206-7b74-44ce-b39f-89049ebd4e3f,7aba28a8-1676-4258-8177-019a1fc6213b,INR,392688.5000,active,2025-07-31T16:48:16.146Z,2025-07-31T16:48:16.146Z
2e25c793-17ff-4230-b58d-17dfcc222464,6c81bc8a-1f37-4c9f-85d1-a8876ce337bd,INR,3099894.9000,active,2025-08-10T16:48:16.146Z,2025-08-10T16:48:16.146Z
d53314e5-d645-464a-99cf-45ed1a35e9fd,ca9186d2-ed34-4ba2-be36-2c0eff3c62c0,INR,1045427.1000,active,2025-08-15T16:48:16.146Z,2025-08-15T16:48:16.146Z
dfffab37-7984-45e6-bfd9-bcb0617b8a82,882bd677-182a-49b0-839e-5574c87db875,INR,211409.3500,active,2025-08-25T16:48:16.146Z,2025-08-25T16:48:16.146Z
cc817b0a-5cde-4437-9047-eb0a6c1b8735,0b127035-059c-4381-bef6-77450cfdde76,INR,164201.1000,active,2025-08-27T16:48:16.146Z,2025-08-27T16:48:16.146Z
4c9659e2-39a0-491a-9392-94dfda2a7ad5,be661304-69a1-4305-ba4e-5a4e36ee73bf,INR,662702.6500,active,2025-09-09T16:48:16.146Z,2025-09-09T16:48:16.146Z
